Journal Name,ISSN,ISSN Online,Start year,www,ABDC FoR code,ABDC Ranking
Journal of Business Finance and Accounting,0306-686X,1468-5957,1974.0,http://www.wiley.com/,1502,A
Journal of Business Law,0021-9460,,1957.0,http://au.westlaw.com/,180105,A
Journal of Business Logistics,0735-3766,,1978.0,,1503,B
Journal of Business Market Management,1864-0753,1864-0761,2007.0,http://www.jbm-online.net/,1503,B
Journal of Business Research,0148-2963,,1973.0,http://www.sciencedirect.com/,1505,A
Journal of Business Strategy,0275-6668,,1980.0,http://www.emeraldinsight.com/,1503,B
"Journal of Business Systems, Governance and Ethics",1833-4318,,2006.0,http://www.jbsge.vu.edu.au/,1503,C
Journal of Business Venturing,0883-9026,1873-2003,1985.0,http://www.elsevier.com/,1503,A*
Journal of Business-to-Business Marketing,1051-712X,1547-0628,1993.0,http://www.informaworld.com/,1505,B
Journal of Career Assessment,1069-0727,1552-4590,1993.0,http://jca.sagepub.com/,1503,A
Journal of Career Development,0894-8453,1573-3548,1972.0,http://www.sagepub.com/,1503,B
Journal of Cases on Information Technology,1548-7717,1548-7725,1999.0,http://www.ebscohost.com/,806,C
Journal of China Tourism Research,1938-8160,1938-8179,2005.0,http://www.ebscohost.com/,1506,C
Journal of Chinese Economics and Business Studies,1476-5284,1476-5292,2003.0,http://www.informaworld.com/,1402,C
Journal of Collective Negotiations,0047-2301,1541-4175,1972.0,http://www.baywood.com/,1503,C
Journal of Common Market Studies,0021-9886,1468-5965,1962.0,http://www3.interscience.wiley.com/,1402,B
Journal of Communication,0021-9916,1460-2466,1951.0,http://www3.interscience.wiley.com/,1503,A
Journal of Communication Management,1363-254X,1478-0852,1996.0,http://www.emeraldinsight.com/,1503,B
Journal of Comparative Economics,0147-5967,1095-7227,1977.0,http://www.sciencedirect.com/,1402,A
Journal of Comparative International Management,1481-0468,,1998.0,http://www.managementfutures.com/,1503,C
Journal of Comparative Policy Analysis: research and practice,1387-6988,1572-5448,1999.0,http://www.springerlink.com/,1499,B
Journal of Competition Law and Economics,1744-6414,1744-6422,2005.0,http://jcle.oxfordjournals.org/,1402,B
Journal of Complexity,0885-064X,1090-2708,1985.0,http://www.sciencedirect.com/,1401,A
Journal of Computational and Applied Mathematics,0377-0427,,1975.0,http://www.sciencedirect.com/,1403,A
Journal of Computational and Graphical Statistics,1061-8600,1537-2715,1992.0,http://www.amstat.org/,1403,A
Journal of Computational Finance,1460-1559,1755-2850,1997.0,http://www.journalofcomputationalfinance.com/,1502,C
Journal of Computer and System Sciences International,1064-2307,1555-6530,1963.0,http://www.springer.com/,806,C
Journal of Computer Information Systems,0887-4417,0022-0310,1960.0,http://www.proquest.co.uk/en-UK/,806,B
Journal of Conflict Resolution: research on war and peace between and within nations,0022-0027,1552-8766,1957.0,http://jcr.sagepub.com/,1503,A*
Journal of Construction Accounting and Taxation,1054-3007,,1991.0,http://www.proquest.com/,180125,C
Journal of Construction Engineering and Management,0733-9364,1943-7862,1873.0,http://www.ebscohost.com/,1504,A
Journal of Construction Procurement,1358-9180,,1995.0,,1507,B
Journal of Construction Research,1609-9451,1793-687X,2002.0,http://www.ebscohost.com/,1504,B
Journal of Constructivist Psychology,1072-0537,1521-0650,1988.0,http://www.informaworld.com/,1503,B
Journal of Consulting and Clinical Psychology,0022-006X,1939-2117,1937.0,http://csaweb114v.csa.com/,1503,B
Journal of Consumer Affairs,0022-0078,1745-6606,1967.0,http://www.ebscohost.com/,1505,A
Journal of Consumer Behaviour: an international research review,1472-0817,1479-1838,2001.0,http://www3.interscience.wiley.com/,1505,B
Journal of Consumer Marketing,0736-3761,,1983.0,http://www.emeraldinsight.com/,1505,B
"Journal of Consumer Policy: consumer issues in law, economics and behavioral sciences",0168-7034,1573-0700,1977.0,http://www.springerlink.com/,1402,C
Journal of Consumer Psychology,1057-7408,1532-7663,1992.0,http://www.ebscohost.com/,1505,A
Journal of Consumer Research,0093-5301,1537-5277,1974.0,http://www.ebscohost.com/,1505,A*
"Journal of Consumer Satisfaction, Dissatisfaction and Complaining Behavior",0899-8620,,1988.0,http://www.proquest.co.uk/en-UK/,1505,B
Journal of Contemporary Accounting and Economics,1815-5669,,2005.0,http://www.af.polyu.edu.hk/,1501,A
Journal of Contemporary Business Issues,1553-5347,,1992.0,,1503,C
Journal of Contemporary Issues in Business and Government,1323-6903,,1995.0,http://www.business.curtin.edu.au/,1503,C
Journal of Contract Law,1030-7230,,1988.0,http://www.lexisnexis.com/au/legal/,180105,A*
Journal of Convention  Event Tourism,1547-0148,1547-0156,1998.0,http://www.ebscohost.com/,1506,C
Journal of Co-operative Studies,0961-5784,,1987.0,http://www.ingentaconnect.com/,1499,C
Journal of Corporate Accounting and Finance,1044-8136,1097-0053,1979.0,http://www.wiley.com/,1501,C
Journal of Corporate Citizenship,1470-5001,,2001.0,http://www.greenleaf-publishing.com/,1503,C
Journal of Corporate Finance,0929-1199,1872-6313,1994.0,http://www.elsevier.com/,1502,A*
Journal of Corporate Law Studies,1473-5970,1757-8426,2001.0,http://heinonline.org/,180105,B
Journal of Corporate Real Estate,1463-001X,1479-1048,1998.0,http://www.emeraldinsight.com/,1504,C
Journal of Corporate Treasury Management,1753-2574,1753-2582,2007.0,http://www.henrystewart.com/jctm/index.html,1502,C
Journal of Corporation Law,0360-795X,,1975.0,http://www.heinonline.org/,180105,B
Journal of Credit Risk,1744-6619,1755-9723,2004.0,http://www.journalofcreditrisk.com/,1502,C
Journal of Cross-Cultural Psychology,0022-0221,1552-5422,1970.0,http://jcc.sagepub.com/,1503,A
Journal of Culinary Science and Technology (Print edition),1542-8052,1542-8044,1994.0,http://www.ebscohost.com/,1504,C
Journal of Cultural Economics,0885-2545,1573-6997,1977.0,http://www.springerlink.com/,1402,B
Journal of Current Issues and Research in Advertising,1064-1734,,1978.0,http://www.ebscohost.com/,1505,C
Journal of Customer Behavior,1475-3928,1477-6421,2002.0,http://www.westburnpublishers.com/,1505,C
Journal of Database Management,1063-8016,1533-8010,1990.0,http://www.proquest.co.uk/en-UK/,806,A
Journal of Decision Systems,1246-0125,,1992.0,,806,C
Journal of Derivatives and Hedge Funds,1753-9641,1753-965X,1994.0,http://www.proquest.com/,1502,C
Journal of Developing Areas,0022-037X,1548-2278,1966.0,http://www.proquest.co.uk/en-UK/,1402,B
Journal of Development Economics,0304-3878,1872-6089,1974.0,http://www.sciencedirect.com/,1402,A*
Journal of Development Studies,0022-0388,1743-9140,1964.0,http://www.informaworld.com/,1402,A
Journal of Developmental Entrepreneurship,1084-9467,1793-706X,1996.0,http://www.worldscinet.com/jde/,1503,C
Journal of Diversity Management,1558-0121,,2006.0,http://www.cluteinstitute.com/JDM_main.htm,1503,C
Journal of East European Management Studies,0949-6181,1862-0019,1996.0,,1503,C
Journal of Eastern Asia Society for Transportation Studies,1881-1124,,2005.0,http://www.easts.info/,1507,C
Journal of East-West Business,1066-9868,1528-6959,1993.0,http://www.informaworld.com/,1503,C
Journal of Econometrics,0304-4076,1872-6895,1973.0,http://www.sciencedirect.com/,1403,A*
Journal of Economic and Social Measurement,0747-9662,1875-8932,1974.0,http://www.swetswise.com/,1402,C
Journal of Economic and Social Policy,1325-2224,,1995.0,http://search.informit.com.au/,1402,C
Journal of Economic Behavior and Organization,0167-2681,,1980.0,http://www.sciencedirect.com/,1402,A
Journal of Economic Development,0254-8372,,1976.0,www.jed.or.kr,1402,C
Journal of Economic Dynamics and Control,0165-1889,,1979.0,http://www.sciencedirect.com/,1402,A
Journal of Economic Geography,1468-2702,1468-2710,2000.0,http://joeg.oxfordjournals.org/,1402,A
Journal of Economic Growth,1381-4338,1573-7020,1996.0,http://www.springerlink.com/,1402,A*
Journal of Economic Integration,1225-651X,1976-5525,1986.0,http://sejong.metapress.com/,1402,C
Journal of Economic Interaction and Coordination,1860-711X,1860-7128,2006.0,http://www.springer.com/,1402,C
Journal of Economic Literature,0022-0515,,1963.0,http://www.ebscohost.com/,1402,A*
Journal of Economic Methodology,1350-178X,1469-9427,1989.0,http://www.informaworld.com/,1402,B
Journal of Economic Perspectives,0895-3309,1944-7965,1987.0,http://www.ebscohost.com/,1402,A*
Journal of Economic Policy Reform,1748-7870,1748-7889,1997.0,http://www.informaworld.com/,1402,B
Journal of Economic Psychology,0167-4870,1872-7719,1981.0,http://www.sciencedirect.com/,1402,A
Journal of Economic Research,1226-4261,,1996.0,http://jer.heri.re.kr,1402,B
Journal of Economic Studies,0144-3585,1758-7387,1966.0,http://www.emeraldinsight.com/,1402,B
Journal of Economic Surveys,0950-0804,1467-6419,1987.0,http://www3.interscience.wiley.com/,1402,A
Journal of Economic Theory,0022-0531,1095-7235,1969.0,http://www.sciencedirect.com/,1401,A*
Journal of Economics,0931-8658,1617-7134,1930.0,http://www.springerlink.com/,1401,B
Journal of Economics and Business,0148-6195,,1949.0,http://www.sciencedirect.com/,1402,B
Journal of Economics and Finance,1055-0925,1938-9744,1989.0,,1402,B
Journal of Economics and Finance Education,1543-0464,,2002.0,,1499,C
Journal of Economics and Management Strategy,1058-6407,1530-9134,1992.0,http://www3.interscience.wiley.com/,1402,A
Journal of Ecotourism,1472-4049,1747-7638,2002.0,http://www.swetswise.com/,1506,B
Journal of Education and Work,1363-9080,1469-9435,1987.0,http://www.informaworld.com/,1503,B
Journal of Education Finance,0098-9495,1944-6470,1975.0,http://www.press.uillinois.edu/journals/jef.html,1502,C
Journal of Education for Business,0883-2323,1940-3356,1924.0,http://www.ebscohost.com/,1503,C
Journal of Educational and Behavioral Statistics,1076-9986,1935-1054,1976.0,http://jeb.sagepub.com/,1503,C
Journal of Electronic Commerce in Organizations: the international journal of electronic commerce in modern organizations,1539-2937,1539-2929,2003.0,http://www.ebscohost.com/,1503,B
Journal of Electronic Commerce Research,1938-9027,1526-6133,2000.0,http://www.csulb.edu/journals/jecr/,806,C
Journal of Emerging Market Finance,0972-6527,,2002.0,,1502,C
Journal of Emerging Markets,1083-9798,,1996.0,,1503,C
Journal of Emerging Technologies in Accounting,1554-1908,1558-7940,2004.0,http://aaapubs.aip.org/jeta/,1501,C
Journal of Empirical Finance,0927-5398,,1993.0,http://www.elsevier.com/,1502,A
Journal of Empirical Generalisations in Marketing Science,1326-4443,,1996.0,http://www.empgens.com/,1505,C
Journal of Employment Counseling,0022-0787,,1965.0,http://www.ebscohost.com/,1503,A
Journal of Energy and Development,0361-4476,,1975.0,http://www.iceed.org/,1499,C
Journal of Engineering and Technology Management,0923-4748,,1981.0,http://www.elsevier.com/,1503,B
"Journal of Engineering, Design and Technology",1726-0531,,2002.0,http://www.emeraldinsight.com/,1503,C
Journal of Enterprise Information Management,1741-0398,1758-7409,1981.0,http://www.proquest.co.uk/en-UK/,806,C
Journal of Enterprising Communities: people and places of global economy,1750-6204,1750-6212,2007.0,http://www.emeraldinsight.com/,1402,C
Journal of Enterprising Culture,0218-4958,1793-6330,1993.0,http://www.worldscinet.com/jec/,1503,C
Journal of Entrepreneurship,0971-3557,1940-0292,1992.0,http://www.uk.sagepub.com/,1503,C
Journal of Environment and Development: a review of international policy,1070-4965,1552-5465,1992.0,http://jed.sagepub.com/,1402,B
Journal of Environmental Assessment Policy and Management,1464-3332,1757-5605,1999.0,http://www.ebscohost.com/,1503,C
Journal of Environmental Economics and Management,0095-0696,1096-0449,1975.0,http://www.sciencedirect.com/,1402,A
Journal of Environmental Law,0952-8873,1464-374X,1989.0,http://www.heinonline.org/,180105,B
Journal of Environmental Management,0301-4797,1095-8630,1973.0,http://www.sciencedirect.com/,1503,A
Journal of Environmental Planning and Management,0964-0568,1360-0559,1948.0,http://www.informaworld.com/,1503,B
Journal of Euromarketing,1049-6483,1528-6967,1991.0,http://www.informaworld.com/,1505,C
Journal of European Business Education,0968-0543,,,http://www.abe.pl/,1503,C
Journal of European Economic History,0391-5115,,1972.0,http://www.unicredit-capitalia.eu/,1402,B
Journal of European Industrial Training,0309-0590,1758-7425,1977.0,http://www.emeraldinsight.com/,1503,C
Journal of European Public Policy,1350-1763,1466-4429,1994.0,http://www.informaworld.com/,1499,A
Journal of European Real Estate Research,1753-9269,,2008.0,http://www.emeraldinsight.com/,1504,C
Journal of Evolutionary Economics,0936-9937,1432-1386,1991.0,http://www.springerlink.com/,1402,A
Journal of Experimental Psychology: General,0096-3445,1939-2222,1916.0,http://csaweb109v.csa.com/,1503,A*
Journal of Experimental Psychology: Human Perception and Performance,0096-1523,,1916.0,http://csaweb110v.csa.com/,1503,A*
"Journal of Experimental Psychology: Learning, Memory, and Cognition",0278-7393,1939-1285,1916.0,http://csaweb109v.csa.com/,1503,A*
Journal of Experimental Social Psychology,0022-1031,1096-0465,1965.0,http://www.sciencedirect.com/,1503,A
Journal of Facilities Management,1472-5967,1741-0983,2002.0,http://www.emeraldinsight.com/,1504,C
Journal of Family and Economic Issues,1058-0476,1573-3475,1978.0,http://www.springerlink.com/,1402,B
Journal of Family Business Strategy,1877-8585,,2010.0,http://www.elsevier.com/,1503,C
"Journal of Family History: studies in family, kinship and demography",0363-1990,1552-5473,1976.0,http://jfh.sagepub.com/,1499,C
Journal of Fashion Marketing and Management,1361-2026,1758-7433,1996.0,http://www.emeraldinsight.com/,1505,B
Journal of Finance and Management in Public Services,1475-1283,,2001.0,,1502,C
Journal of Finance Case Research,1527-5426,,1999.0,,1502,C
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,1966.0,,1502,A*
Journal of Financial Crime,1359-0790,1758-7239,1993.0,http://www.emeraldinsight.com/,180105,C
Journal of Financial Econometrics,1479-8409,1479-8417,2002.0,http://jfec.oxfordjournals.org/,1403,A
Journal of Financial Economics,0304-405X,,1974.0,http://www.sciencedirect.com/,1502,A*
Journal of Financial Education,0093-3961,,1972.0,http://www.fea.sju.edu/,1502,B
Journal of Financial Intermediation,1042-9573,1096-0473,1990.0,http://www.elsevier.com/,1502,A
Journal of Financial Management and Analysis,0970-4205,,1988.0,,1502,C
Journal of Financial Management of Property and Construction,1363-2175,,1996.0,http://www.emeraldinsight.com/,1504,C
Journal of Financial Markets,1386-4181,,1998.0,http://www.sciencedirect.com/,1503,A
Journal of Financial Regulation and Compliance,1358-1988,1740-0279,1992.0,http://www.emeraldinsight.com/,180105,C
Journal of Financial Reporting and Accounting,1985-2517,,2002.0,http://www.emeraldinsight.com/,1501,C
Journal of Financial Research,0270-2592,1475-6803,1978.0,http://www.blackwellpublishing.com/,1502,A
Journal of Financial Services Marketing,1363-0539,1479-1846,1996.0,http://www.ebscohost.com/,1505,C
Journal of Financial Services Research,0920-8550,1573-0735,1987.0,http://springerlink.metapress.com/,1502,B
Journal of Financial Stability,1572-3089,,2004.0,http://www.elsevier.com/,1502,C
"Journal of Food Products Marketing: innovations in food advertising, food promotion, food publicity, food sales promotion",1045-4446,1540-4102,1992.0,http://www.informaworld.com/,1505,C
Journal of Foodservice,1745-4506,1748-0140,2006.0,http://www3.interscience.wiley.com/,1504,C
Journal of Foodservice Business Research,1537-8020,1537-8039,1994.0,http://www.ebscohost.com/,1504,C
Journal of Forecasting,0277-6693,1099-131X,1981.0,http://www3.interscience.wiley.com/,1402,A
"Journal of Forensic Accounting: auditing, fraud  risk",1524-5586,,2000.0,http://edwardspub.com/journals/JFA/,1501,C
Journal of Forensic Economics,0898-5510,,1988.0,http://www.nafe.net/Journal.aspx,1402,C
Journal of Forest Economics,1104-6899,,1995.0,http://www.sciencedirect.com/,1402,C
Journal of Further and Higher Education,0309-877X,1469-9486,1943.0,http://www.informaworld.com/,1503,C
Journal of Futures Studies,1027-6084,,1996.0,http://www.airiti.com/,1503,C
Journal of Gambling Issues,1494-5185,1910-7595,2000.0,http://www.camh.net/egambling/,1506,C
Journal of Gambling Studies,1050-5350,1573-3602,1985.0,http://www.springerlink.com/,1506,B
Journal of General Management,0306-3070,,1973.0,http://www.braybrooke.co.uk/jgm/,1503,B
"Journal of Geographical Systems: geographical information, analysis, theory and decision",1435-5930,1435-5949,1999.0,http://www.springerlink.com/,1503,C
Journal of Global Business,1053-7287,,1990.0,,1503,C
Journal of Global Business Issues,1931-311X,,2007.0,http://www.jgbi.org/,1503,C
Journal of Global Business Management,1817-3179,,2005.0,http://www.jgbm.org/,1503,C
Journal of Global Information Management,1062-7375,1533-7995,1993.0,http://journals.igi-online.com/,806,B
Journal of Global Information Technology Management,1097-198X,,1998.0,http://www.proquest.co.uk/en-UK/,806,B
Journal of Global Marketing,0891-1762,1528-6975,1987.0,http://www.informaworld.com/,1505,C
Journal of Global Responsibility,2041-2568,,2010.0,http://www.emeraldinsight.com/,1503,C
Journal of Happiness Studies,1389-4978,1573-7780,2000.0,http://www.springerlink.com/,1402,B
Journal of Health Economics,0167-6296,,1982.0,http://www.sciencedirect.com/,1402,A*
"Journal of Health Politics, Policy and Law",0361-6878,1527-1927,1976.0,http://jhppl.dukejournals.org/,1503,A
Journal of Health Services Research and Policy,1355-8196,1758-1060,1996.0,http://www.swetswise.com/,1503,C
"Journal of Health, Organization and Management",1477-7266,1758-7247,1986.0,http://www.emeraldinsight.com/,1503,C
Journal of Heritage Tourism,1747-6331,1743-873X,2006.0,http://www.ebscohost.com/,1506,C
Journal of Higher Education,0022-1546,1538-4640,1930.0,http://muse.jhu.edu/,1503,B
Journal of Historical Research in Marketing,1755-750X,,2009.0,http://www.emeraldinsight.com/,1505,C
Journal of Hospitality and Tourism Education,1096-3758,,,http://www.ebscohost.com/,1506,A
Journal of Hospitality and Tourism Management,1447-6770,,1994.0,http://www.ebscohost.com/,1506,B
Journal of Hospitality and Tourism Research,1096-3480,1557-7554,1997.0,http://jht.sagepub.com/,1506,A
Journal of Hospitality Application and Research,0973-4538,,2006.0,http://www.bitmesra.ac.in/,1506,C
Journal of Hospitality Marketing and Management,1936-8623,1936-8631,1992.0,http://www.ebscohost.com/,1506,A
"Journal of Hospitality, Leisure, Sports  Tourism Education",1473-8376,,2002.0,http://www.heacademy.ac.uk/,1506,C
Journal of Housing Economics,1051-1377,1096-0791,1991.0,http://www.sciencedirect.com/,1402,B
Journal of Housing Research,1052-7001,,1990.0,,1504,B
Journal of Human Development and Capabilities,1945-2829,1945-2837,2000.0,http://www.informaworld.com/,1402,B
Journal of Human Resource Costing and Accounting,1401-338X,1758-745X,1996.0,http://www.emeraldinsight.com/,1501,C
Journal of Human Resources and Adult Learning,1817-2105,,2005.0,http://www.hraljournal.com/,1503,C
Journal of Human Resources in Hospitality and Tourism,1533-2845,1533-2853,2002.0,http://www.ebscohost.com/,1506,B
"Journal of Human Resources: education, manpower and welfare economics",0022-166X,1548-8004,1966.0,http://www.ebscohost.com/,1402,A
"Journal of Income Distribution: an international journal, New Series",0926-6437,,1991.0,http://www.jid-online.org/,1402,B
Journal of Industrial Relations,0022-1856,1472-9296,1959.0,http://jir.sagepub.com/,1503,A
"Journal of Industry, Competition and Trade: from theory to policy",1566-1679,1573-7012,2001.0,http://www.springerlink.com/,1402,C
Journal of Informatics Education and Research,1526-4726,,1993.0,http://www.jier.org/,806,C
Journal of Information Knowledge Management,0219-6492,1793-6926,2003.0,http://www.worldscinet.com/,806,C
Journal of Information Science and Technology,1545-0287,,2004.0,,806,C
Journal of Information Systems and Small Business,1834-2949,1834-2957,2006.0,http://www.deakin.edu.au/buslaw/infosys/jissb/,806,C
Journal of Information Systems and Technology Management,1807-1775,,2004.0,http://www.jistem.fea.usp.br/,806,C
Journal of Information Technology,0268-3962,1466-4437,1986.0,http://www.ebscohost.com/,806,A*
Journal of Information Technology and Tourism,1098 -3058,1943-4294,1998.0,http://www.ingentaconnect.com/,806,B
Journal of Information Technology Case and Application Research,1522-8053,,1999.0,http://www.proquest.co.uk/en-UK/,806,C
Journal of Information Technology Management,1042-1319,,1990.0,http://jitm.ubalt.edu/,806,C
"Journal of Information, Information Technology, and Organizations",1557-1319,1557-1327,2006.0,http://jiito.org/,806,C
Journal of Innovation Economics,2032-5355,,2008.0,http://www.cairn.info/,1402,C
Journal of Institutional and Theoretical Economics,0932-4569,,1844.0,http://www.mohr.de/jite.html,1402,A
Journal of Institutional Economics,1744-1374,1744-1382,2005.0,http://journals.cambridge.org/,1402,B
Journal of Institutional Research,,1443-2110,1991.0,http://www.aair.org.au/jir/Index.htm,1503,C
Journal of Institutional Research (South East Asia),,1675-6061,2002.0,,1503,C
Journal of Intellectual Capital,1469-1930,1758-7468,2000.0,http://info.emeraldinsight.com/,1503,B
Journal of Intellectual Property Law and Practice,1747-1532,1747-1540,1993.0,http://www.heinonline.org/,180105,B
Journal of Intelligent Manufacturing,0956-5515,1572-8145,1990.0,http://springerlink.metapress.com/,1503,B
"Journal of Intelligent Transportation Systems: technology, planning, and operations",1547-2450,1547-2442,1997.0,http://www.ebscohost.com/,1507,C
Journal of Interactive Advertising,1525-2019,,2000.0,http://jiad.org/,1505,C
Journal of Interactive Marketing,1094-9968,1520-6653,1987.0,http://www3.interscience.wiley.com/,1505,B
Journal of Interdisciplinary Economics,0260-1079,,1984.0,http://www.jie.org.uk/,1402,C
Journal of Interdisciplinary History,0022-1953,1530-9169,1969.0,http://www.mitpressjournals.org/,1499,C
Journal of Interdisciplinary Mathematics,0972-0502,,1998.0,http://www.tarupublications.com/jim.html,1403,B
Journal of International Accounting Research,1542-6297,1558-8025,2002.0,http://aaapubs.aip.org/jiar/,1501,B
"Journal of International Accounting, Auditing and Taxation",1061-9518,1879-1603,1992.0,http://www.elsevier.com/,1501,B
Journal of International Agricultural Trade and Development,1556-8520,,2005.0,https://www.novapublishers.com/,1402,C
Journal of International Banking Law and Regulation,1742-6812,,1986.0,http://www.sweetandmaxwell.co.uk/,1502,C
Journal of International Business and Economics,1544-8037,,2004.0,http://www.aibe.org/,1503,C
Journal of International Business and Economy,1527-8603,,2000.0,,1402,C
Journal of International Business Strategy,1552-2903,,2004.0,http://www.aibe.org/,1503,C
Journal of International Business Studies,0047-2506,1478-6990,1970.0,http://www.palgrave-journals.com/,1503,A*
Journal of International Commercial Law,1476-7546,,2002.0,,180105,C
Journal of International Commercial Law and Technology,1901-8401,,2006.0,http://www.jiclt.com/,180105,C
Journal of International Consumer Marketing,0896-1530,1528-7068,1988.0,http://www.informaworld.com/,1505,C
Journal of International Development,0954-1748,1099-1328,1981.0,http://www3.interscience.wiley.com/,1402,B
Journal of International Economic Law,1369-3034,1464-3758,1998.0,http://www.heinonline.org/,180105,A
Journal of International Economic Studies,0911-1247,,1985.0,http://www.hosei.ac.jp/hikaku2/jies.htm,1402,C
Journal of International Economics,0022-1996,1873-0353,1971.0,http://www.sciencedirect.com/,1402,A*
Journal of International Education in Business,1836-3261,,2008.0,http://www.ojs.unisa.edu.au/,1503,C
Journal of International Finance and Economics,1555-6336,,2006.0,,1402,C
Journal of International Financial Management and Accounting,0954-1314,1467-646X,1988.0,http://www.wiley.com/,1502,B
"Journal of International Financial Markets, Institutions and Money",1042-4431,1873-0612,1991.0,http://www.elsevier.com/,1502,A
Journal of International Food and Agribusiness Marketing,0897-4438,1528-6983,1989.0,http://www.tandf.co.uk/,1505,C
Journal of International Management,1075-4253,1873-0620,1995.0,http://www.elsevier.com/,1503,B
Journal of International Management Studies,1993-1034,,2006.0,http://www.jimsjournal.org/,1503,C
Journal of International Marketing,1069-031X,1547-7215,1992.0,http://www.ebscohost.com/,1505,A
Journal of International Marketing and Exporting,1324-5864,1832-2174,1996.0,,1505,C
Journal of International Marketing and Marketing Research,1010-7347,,1976.0,,1505,C
Journal of International Migration and Integration,1488-3473,1874-6365,2000.0,http://www.springerlink.com/,1499,C
Journal of International Money and Finance,0261-5606,1873-0639,1982.0,http://www.elsevier.com/,1502,A
Journal of International Relations and Development,1408-6980,1581-1980,1985.0,http://www.proquest.co.uk/en-UK/,1402,C
Journal of International Taxation,1049-6378,,1990.0,http://ria.thomsonreuters.com/,180125,C
Journal of International Technology and Information Management,1543-5962,1941-6679,1992.0,http://www.iima.org/,806,C
Journal of Internet Banking and Commerce,,1204-5357,1997.0,http://www.arraydev.com/commerce/jibc/,1502,C
Journal of Internet Business,,1832-1151,2004.0,http://jib.debii.curtin.edu.au/,1503,C
Journal of Internet Commerce,1533-2861,1533-287X,2002.0,http://www.tandf.co.uk/,1503,B
Journal of Investing,1068-0896,,1992.0,http://www.iijournals.com/toc/joi/current,1502,C
Journal of Investment Compliance,1528-5812,1758-7476,2000.0,http://www.emeraldinsight.com/,1502,C
Journal of Investment Management,1545-9144,1545-9152,2003.0,http://www.joim.com/,1502,C
Journal of Islamic Accounting and Business Research,1759-0817,,2010.0,http://www.emeraldinsight.com/,1501,C
"Journal of Islamic Economics, Banking and Finance",2070-4658,2070-4666,2005.0,http://www.ibtra.com/journal_index.html,1502,C
Journal of Knowledge Management,1367-3270,1758-7484,1997.0,http://www.emeraldinsight.com/,806,A
Journal of Labor Economics,0734-306X,1537-5307,1983.0,http://www.journals.uchicago.edu/,1402,A
Journal of Labor Research,0195-3613,1936-4768,1979.0,,1503,B
Journal of Language and Social Psychology,0261-927X,1552-6526,1982.0,http://jls.sagepub.com/,1503,B
Journal of Law and Financial Management,1446-6899,,,http://www.austlii.edu.au/au/journals/JLFM/,180105,C
Journal of Law and Information Science,0729-1485,,1981.0,http://heinonline.org/,180105,A
Journal of Law and Society,0263-323X,1467-6478,1974.0,http://www3.interscience.wiley.com/,180105,B
"Journal of Law, Economics and Organization",8756-6222,1465-7341,1985.0,http://jleo.oxfordjournals.org/,1402,A
Journal of Leadership and Organizational Studies,1548-0518,1939-7089,1993.0,http://jlo.sagepub.com,1503,C
Journal of Legal Aspects of Sport,1072-0316,,1991.0,http://www.heinonline.org/,1504,C
Journal of Legal Economics,1054-3023,,1991.0,http://www.heinonline.org/,1402,B
Journal of Legal Studies in Business (Athens),1078-3873,,1992.0,,180105,C
Journal of Legal Technology Risk Management,1932-5584,1932-5592,2006.0,http://www.ltrm.org/,180105,C
Journal of Leisure Research,0022-2216,,,http://www.ebscohost.com/,1506,A
Journal of Macroeconomics,0164-0704,1873-152X,1979.0,http://www.sciencedirect.com/,1402,A
Journal of Macromarketing,0276-1467,1552-6534,1981.0,http://jmk.sagepub.com/,1505,B
Journal of Malaysian and Comparative Law,0126-6322,,1974.0,,180105,C
Journal of Management,0149-2063,1557-1211,1975.0,http://www.sagepub.com/,1503,A*
Journal of Management Accounting Research,1049-2127,1558-8033,1989.0,http://aaapubs.aip.org/jmar/,1501,A
Journal of Management and Governance,1385-3457,1572-963X,1997.0,http://springerlink.metapress.com/,1503,C
Journal of Management and Marketing in Healthcare,1753-3031,1753-304X,2007.0,,1505,C
Journal of Management and Organization,1833-3672,,1995.0,http://jmo.e-contentmanagement.com/,1503,B
Journal of Management Development,0262-1711,1758-7492,1982.0,http://www.emeraldinsight.com/,1503,C
Journal of Management Education,1052-5629,1552-6658,1975.0,http://jme.sagepub.com/,1503,B
Journal of Management History,1751-1348,1758-7751,1995.0,,1503,B
Journal of Management in Engineering,0742-597X,1943-5479,1985.0,http://www.ebscohost.com/,1503,A
Journal of Management Information Systems,0742-1222,1557-928X,1984.0,http://www.ebscohost.com/,806,A*
Journal of Management Inquiry,1056-4926,1552-6542,1992.0,http://www.sagepub.com/,1503,A
Journal of Management Research,0972-5814,,2001.0,http://www.indianjournals.com/,1503,C
Journal of Management Studies,0022-2380,1467-6486,1964.0,http://www.wiley.com/,1503,A*
Journal of Managerial Issues,1045-3695,,1989.0,http://www2.pittstate.edu/econ/jmi.html,1503,C
Journal of Managerial Psychology,0268-3946,1758-7778,1986.0,http://www.emeraldinsight.com/,1503,C
Journal of Manufacturing Systems,0278-6125,1878-6642,1982.0,http://www.elsevier.com/,1503,B
Journal of Manufacturing Technology Management,1741-038X,1758-7786,1982.0,http://www.emeraldinsight.com/,1503,B
Journal of Maritime Law and Commerce,0022-2410,,1969.0,http://www.heinonline.org/,180105,A
